"NOMBDIST","year","month","falciparum","vivax","aet","prcp","q","soilm","tmax","tmin","water_deficit","loss","loss_km2","cum_loss_km2","diag","enviro","nets","workers","pamafro","pop2015","NOMBPROV","NOMBDEP","IDDIST"
"ALTO NANAY",2000,1,2,42,90.7784456493568,227.191495610122,136.416569091707,35.9322580438206,31.0256011297276,21.6843695011307,0,0,0,0,0,0,0,0,0,2784,"MAYNAS","LORETO","160102"
"ALTO NANAY",2000,2,2,40,82.1038123323771,277.721848384376,195.6159822794,35.9322580438206,30.9516715220342,21.5471994282563,0,0,0,0,0,0,0,0,0,2784,"MAYNAS","LORETO","160102"
"ALTO NANAY",2000,3,2,21,66.8463343399361,357.992668397965,291.146187477447,35.9322580438206,30.3516275456224,21.3455571792692,0,0,0,0,0,0,0,0,0,2784,"MAYNAS","LORETO","160102"
"ALTO NANAY",2000,4,0,3,61.7711144332662,333.761876797047,271.991201831448,35.9322580438206,30.0419208185414,20.7784750454587,0,0,0,0,0,0,0,0,0,2784,"MAYNAS","LORETO","160102"
"ALTO NANAY",2000,5,3,15,70.0123167177799,379.548973508594,309.53255160603,35.9322580438206,29.9652932718003,21.3201173099954,0,0,0,0,0,0,0,0,0,2784,"MAYNAS","LORETO","160102"
"ALTO NANAY",2000,6,1,0,67.1439880975181,163.293108495449,96.1482404557841,35.9322580438206,30.1841642150431,21.1383138108463,0,0,0,0,0,0,0,0,0,2784,"MAYNAS","LORETO","160102"
"ALTO NANAY",2000,7,2,4,78.1312315932467,155.052639354359,76.9212610966299,35.9322580438206,29.1824193294447,19.8456598488816,0,0,0,0,0,0,0,0,0,2784,"MAYNAS","LORETO","160102"
"ALTO NANAY",2000,8,11,1,86.1571848133792,313.878152640334,227.720968005944,35.9322580438206,31.1113929636667,20.7083871175816,0,0,0,0,0,0,0,0,0,2784,"MAYNAS","LORETO","160102"
"ALTO NANAY",2000,9,6,2,89.4425219314888,339.703225904895,250.258797698706,35.9322580438206,31.6010263560455,20.6797213876003,0,0,0,0,0,0,0,0,0,2784,"MAYNAS","LORETO","160102"
"ALTO NANAY",2000,10,12,4,92.0252199145007,148.848973864334,56.825659743502,35.9322580438206,31.442316732099,21.5545014859644,0,0,0,0,0,0,0,0,0,2784,"MAYNAS","LORETO","160102"
"ALTO NANAY",2000,11,14,7,83.6878299097861,106.619501376781,22.9329912229018,35.9322580438206,31.4862169674065,21.7087097084068,0,0,0,0,0,0,0,0,0,2784,"MAYNAS","LORETO","160102"
"ALTO NANAY",2000,12,12,2,83.6673021176693,200.736216883506,117.069208251416,35.9322580438206,31.47093844204,21.4371261093274,0,0,0,0,0,0,0,0,0,2784,"MAYNAS","LORETO","160102"
"ALTO NANAY",2001,1,6,2,58.5350439121996,343.975953580347,285.440177179152,35.9322580438206,30.0882698014335,20.7475073274629,0,2085825.61576263,2.08582561576263,2.08582561576263,0,0,0,0,0,2784,"MAYNAS","LORETO","160102"
"ALTO NANAY",2001,2,3,1,64.7733137964154,218.120527989004,153.347800649156,35.9322580438206,30.7606304649733,21.356202332505,0,2085825.61576263,2.08582561576263,2.08582561576263,0,0,0,0,0,2784,"MAYNAS","LORETO","160102"
"ALTO NANAY",2001,3,5,4,64.9306452295298,412.781671563202,347.849266656333,35.9322580438206,30.4765835954996,21.4707624122195,0,2085825.61576263,2.08582561576263,2.08582561576263,0,0,0,0,0,2784,"MAYNAS","LORETO","160102"
"ALTO NANAY",2001,4,2,2,66.986803440754,215.175806465037,148.188856197592,35.9322580438206,30.6161583707479,21.3528005846085,0,2085825.61576263,2.08582561576263,2.08582561576263,0,0,0,0,0,2784,"MAYNAS","LORETO","160102"
"ALTO NANAY",2001,5,13,0,66.0456012043436,215.542522016508,149.49721414113,35.9322580438206,30.1031964461475,21.458108507643,0,2085825.61576263,2.08582561576263,2.08582561576263,0,0,0,0,0,2784,"MAYNAS","LORETO","160102"
"ALTO NANAY",2001,6,7,1,67.2523461283127,187.356451442864,120.106158706799,35.9322580438206,29.2469647818646,20.2012316879988,0,2085825.61576263,2.08582561576263,2.08582561576263,0,0,0,0,0,2784,"MAYNAS","LORETO","160102"
"ALTO NANAY",2001,7,8,20,72.0882699244882,196.818034980304,124.729912005562,35.9322580438206,29.7154838612352,20.3786803774121,0,2085825.61576263,2.08582561576263,2.08582561576263,0,0,0,0,0,2784,"MAYNAS","LORETO","160102"
"ALTO NANAY",2001,8,6,4,85.2120234469864,151.973167229258,66.7608503973729,35.9322580438206,31.108020519581,20.7050146706992,0,2085825.61576263,2.08582561576263,2.08582561576263,0,0,0,0,0,2784,"MAYNAS","LORETO","160102"
"ALTO NANAY",2001,9,8,5,83.8782990307402,169.576686624208,85.6966274910309,35.9322580438206,31.5755131992776,20.6542228240072,0,2085825.61576263,2.08582561576263,2.08582561576263,0,0,0,0,0,2784,"MAYNAS","LORETO","160102"
"ALTO NANAY",2001,10,8,3,84.1752198630414,413.451906265751,329.276246772833,35.9322580438206,31.6780351851343,21.79021996417,0,2085825.61576263,2.08582561576263,2.08582561576263,0,0,0,0,0,2784,"MAYNAS","LORETO","160102"
"ALTO NANAY",2001,11,32,4,80.526686380336,194.890176029149,114.364222741896,35.9322580438206,31.8037536682621,22.0260997224064,0,2085825.61576263,2.08582561576263,2.08582561576263,0,0,0,0,0,2784,"MAYNAS","LORETO","160102"
